Date,Time,Open,High,Low,Close,Volume
2017.02.16,19:00,11758.3,11761.8,11752.5,11757.0,725
2017.02.16,20:00,11758.0,11759.8,11751.0,11758.0,503
2017.02.16,21:00,11758.3,11772.3,11756.5,11768.8,465
2017.02.17,08:00,11744.5,11756.3,11743.0,11751.8,595
2017.02.17,09:00,11753.3,11769.8,11727.0,11735.0,1575
2017.02.17,10:00,11735.5,11737.3,11687.5,11711.0,1628
2017.02.17,11:00,11711.3,11712.3,11688.5,11706.0,1303
2017.02.17,12:00,11706.5,11752.3,11695.3,11722.0,1279
2017.02.17,13:00,11724.5,11735.5,11698.3,11708.3,1538
2017.02.17,14:00,11708.0,11709.5,11691.5,11700.5,1159
2017.02.17,15:00,11700.0,11732.8,11695.5,11730.0,1595
2017.02.17,16:00,11730.5,11744.5,11722.5,11735.3,1616
2017.02.17,17:00,11734.8,11753.8,11724.5,11750.0,1464
2017.02.17,18:00,11749.3,11767.3,11747.0,11766.3,647
2017.02.17,19:00,11767.0,11771.0,11760.0,11767.8,480
2017.02.17,20:00,11768.3,11790.3,11765.3,11783.3,490
2017.02.17,21:00,11783.0,11794.3,11780.3,11785.3,612
2017.02.20,08:00,11818.0,11856.5,11814.5,11828.0,962
2017.02.20,09:00,11829.0,11839.8,11813.0,11827.5,1636
2017.02.20,10:00,11827.8,11837.3,11808.3,11820.8,938
2017.02.20,11:00,11820.5,11827.3,11818.0,11820.3,597
2017.02.20,12:00,11819.8,11819.8,11811.5,11814.3,487
2017.02.20,13:00,11813.8,11819.0,11801.5,11817.3,657
2017.02.20,14:00,11817.0,11823.3,11814.3,11821.8,499
2017.02.20,15:00,11822.0,11828.8,11812.5,11817.5,639
2017.02.20,16:00,11818.3,11829.3,11815.0,11825.8,509
2017.02.20,17:00,11826.3,11832.8,11821.5,11826.8,602
2017.02.20,18:00,11826.5,11829.3,11821.3,11824.5,241
2017.02.20,19:00,11824.8,11828.3,11823.5,11828.3,92
2017.02.20,20:00,11828.0,11828.3,11822.8,11823.3,99
2017.02.20,21:00,11823.0,11828.3,11820.8,11821.0,165
2017.02.21,08:00,11824.0,11827.5,11808.3,11809.0,549
2017.02.21,09:00,11809.8,11865.0,11794.5,11844.5,1764
2017.02.21,10:00,11845.5,11887.0,11844.5,11875.3,1327
2017.02.21,11:00,11875.8,11884.8,11864.8,11880.8,653
2017.02.21,12:00,11880.5,11888.8,11877.3,11881.8,685
2017.02.21,13:00,11882.5,11900.0,11880.3,11892.5,850
2017.02.21,14:00,11892.8,11893.8,11882.8,11892.5,723
2017.02.21,15:00,11893.0,11951.5,11889.8,11944.3,1508
2017.02.21,16:00,11945.0,11986.3,11940.8,11980.5,1637
